S 1 1592177
S 2 1592678
S 3 1593179
R 1 1593203
R 2 1593663
S 4 1593680
R 3 1594155
S 5 1594181
R 4 1594612
S 6 1594682
R 5 1595133
S 7 1595183
R 6 1595626
S 8 1595684
R 7 1596102
S 9 1596185
R 8 1596621
S 10 1596686
R 9 1597135
S 11 1597187
R 10 1597635
S 12 1597688
R 11 1598120
S 13 1598189
R 12 1598579
S 14 1598690
R 13 1599101
S 15 1599191
R 14 1599638
S 16 1599692
R 15 1600111
S 17 1600193
R 16 1600578
S 18 1600694
R 17 1601072
S 19 1601195
R 18 1601576
S 20 1601696
R 19 1602101
S 21 1602197
R 20 1602586
S 22 1602698
R 21 1603075
S 23 1603200
R 22 1603552
S 24 1603701
R 23 1604017
S 25 1604202
R 24 1604527
S 26 1604703
R 25 1604986
S 27 1605204
R 26 1605488
S 28 1605705
R 27 1606004
S 29 1606206
R 28 1606491
S 30 1606707
R 29 1606981
S 31 1607208
R 30 1607462
S 32 1607709
R 31 1608005
S 33 1608210
R 32 1608520
S 34 1608711
R 33 1609010
S 35 1609212
R 34 1609500
S 36 1609713
R 35 1609999
S 37 1610214
R 36 1610498
S 38 1610715
R 37 1610978
S 39 1611216
R 38 1611494
S 40 1611717
R 39 1611976
S 41 1612218
R 40 1612479
S 42 1612719
R 41 1613003
S 43 1613220
R 42 1613518
S 44 1613721
R 43 1614004
S 45 1614222
R 44 1614478
S 46 1614723
R 45 1614976
S 47 1615224
R 46 1615518
S 48 1615725
R 47 1616031
S 49 1616226
R 48 1616533
S 50 1616727
R 49 1617043
